日期,产品名称,单位,数量,单价,金额,送货单号
2024-01-04,安EX支架,只,14500.0,1.0,14500,81854
2024-01-04,安EX导磁环,只,30000.0,0.18,5400,
2024-01-10,AB410支架,只,12000.0,0.88,10560,81855
2024-01-10,AB410盖板组件,只,12000.0,0.25,3000,
2024-01-10,AB410导磁环平,只,20000.0,0.11,2200,
2024-01-10,AB410导磁环平凸,只,20000.0,0.11,2200,
2024-01-10,13373引线支架,只,10000.0,0.9,9000,
2024-01-15,13373点焊支架,只,20000.0,1.0,20000,81856
2024-01-15,13415点焊支架,只,3745.0,1.38,5168.099999999999,
2024-01-18,CY123支架,套,5000.0,1.1,5500,81857
2024-01-18,16510点焊支架,只,10000.0,1.45,14500,
2024-01-18,宝德支架内外,套,7500.0,0.82,6150,
2024-01-20,16510点焊支架,只,10000.0,1.45,14500,81858
2024-01-20,13373点焊支架,只,5600.0,0.9,5040,
2024-01-20,018支架,只,3330.0,1.1,3663.0000000000005,
2024-01-24,DMF支架（含插脚）,套,10000.0,0.85,8500,81859
2024-01-24,13373点焊支架（老）,套,7100.0,1.0,7100,
2024-01-24,安EX支架,只,11400.0,1.0,11400,
2024-01-24,安EX导磁环,只,20000.0,0.18,3600,
2024-01-29,AB410支架+盖板组件,套,2000.0,1.13,2260,81860
2024-01-29,13373点焊支架（老）,只,13600.0,1.0,13600,
2024-01-29,13373点焊支架（新）+盖板,套,3880.0,0.9,3492,
2024-01-29,面板插脚,只,26500.0,0.068,1802.0000000000002,
2024-01-29,,,,,173135.1,
2024-02-28,13373A支架点焊,只,5460.0,1.0,5460,81981
2024-02-28,面板插脚,只,119500.0,0.068,8126.000000000001,
2024-03-02,1033支架+插脚,套,2200.0,0.87,1914,81982
2024-03-02,13373点焊（上下配厚垫片）,套,9660.0,1.0,9660,
2024-03-04,DMF点焊支架,只,9500.0,0.85,8075,81983
2024-03-07,13373B点焊支架,套,10000.0,0.9,9000,81984
2024-03-10,14510点焊支架+垫片,套,7000.0,1.45,10150,81985
2024-03-10,16510点焊支架+垫片,套,12000.0,1.45,17400,
2024-03-10,面板插脚,只,200000.0,0.068,13600.000000000002,
2024-03-10,018支架,只,4500.0,1.1,4950,
2024-03-12,14510点焊支架+垫片,套,5870.0,1.45,8511.5,81986
2024-03-12,018支架,只,20000.0,1.1,22000,
2024-03-15,16510点焊支架+垫片,套,10000.0,1.45,14500,81987
2024-03-15,13373B点焊支架+垫片,套,8870.0,0.9,7983,
2024-03-15,卡斯托点焊支架,套,3880.0,1.45,5626,
2024-03-19,安EEX支架,只,15000.0,1.0,15000,81988
2024-03-19,安EX导磁环,只,3000.0,0.18,540,
2024-03-23,13373B点焊支架+垫片,套,10000.0,0.9,9000,81989
2024-03-25,13373B点焊支架+垫片,套,10000.0,0.9,9000,81990
2024-03-28,13373B点焊支架+垫片,套,13000.0,0.9,11700,81991
2024-03-28,16510点焊支架+垫片,套,5600.0,1.45,8120,
2024-03-28,,,,,200315.5,
2024-04-03,16510点焊支架+垫片,套,12000.0,1.45,17400,81993
2024-04-06,13373B点焊支架,套,12000.0,0.9,10800,81994
2024-04-06,防爆铜压板,只,5000.0,0.28,1400.0000000000002,
2024-04-07,1033左右支架插脚,套,1000.0,0.7,700,81995
2024-04-07,16438点焊支架,套,2720.0,1.55,4216,
2024-04-09,13373B点焊支架,套,10000.0,0.8,8000,81996
2024-04-13,13373B点焊支架,套,10000.0,0.8,8000,81997
2024-04-16,13373A引线支架,套,7750.0,0.9,6975,81998
2024-04-16,面板插脚,只,190000.0,0.068,12920.000000000002,
2024-04-16,宝德支架内外,套,5000.0,0.82,4100,
2024-04-19,16438点焊支架,套,1160.0,1.55,1798,81999
2024-04-19,16510点焊支架+垫片,套,12000.0,1.45,17400,
2024-04-22,13383支架,只,19500.0,0.86,16770,82000
2024-04-22,面板插脚,只,50000.0,0.068,3400.0000000000005,
2024-04-23,13373B点焊支架,只,10000.0,0.9,9000,8143
2024-04-23,CY123支架,只,1400.0,1.1,1540.0000000000002,
2024-04-25,018支架,只,15000.0,1.1,16500,8144
2024-04-26,16510点焊支架+垫片,套,10000.0,1.45,14500,8145
2024-04-26,CY123支架,只,600.0,1.1,660,
2024-04-28,BOSS支架接地脚+导磁环,套,2000.0,1.0,2000,8146
2024-04-28,0545内外支架+导磁环,套,2000.0,1.95,3900,
2024-04-30,16510点焊支架+垫片,套,10000.0,1.45,14500,8147
2024-04-30,13373B点焊支架,套,10000.0,0.9,9000,
2024-04-30,,,,,185479,
2024-05-04,13373B点焊支架,套,12000.0,0.9,10800,8148
2024-05-06,13373B点焊支架,套,5600.0,0.9,5040,8149
2024-05-06,AB410支架组件,套,2000.0,1.13,2260,
2024-05-06,面板插脚,只,100000.0,0.073,7299.999999999999,
2024-05-10,13373A引线支架,只,18300.0,0.9,16470,8151
2024-05-10,宝德支架通孔内外,套,5300.0,0.82,4346,
2024-05-10,13373B点焊支架,套,12000.0,0.9,10800,
2024-05-10,面板插脚,只,6900.0,0.073,503.7,8152
2024-05-10,AB410引线支架,只,5000.0,0.98,4900,
2024-05-10,AB410支架组件,套,10000.0,1.13,11299.999999999998,
2024-05-10,AB410导磁环,只,30000.0,0.11,3300,
2024-05-15,13373B点焊支架,套,15200.0,0.9,13680,8153
2024-05-15,安EX支架,只,12000.0,1.0,12000,
2024-05-15,安EX导磁环,只,24000.0,0.18,4320,
2024-05-17,16510点焊支架,套,13000.0,1.45,18850,8154
2024-05-17,HSEX点焊支架,只,2000.0,1.45,2900,
2024-05-17,HSEX导磁环,只,2000.0,0.15,300,
2024-05-23,1415点焊支架,只,4700.0,1.45,6815,8155
2024-05-23,13373B点焊支架,只,6000.0,0.9,5400,
2024-05-23,防爆压板,只,29000.0,0.28,8120.000000000001,
2024-05-25,13373B点焊支架,只,8000.0,0.9,7200,8156
2024-05-25,16510点焊支架,只,1200.0,1.45,1740,
2024-05-27,13373B点焊支架,只,8000.0,0.9,7200,8157
2024-05-27,1750内外支架,套,100.0,1.95,195,
2024-05-27,1033直脚左右插脚,套,2500.0,0.3,750,
2024-05-28,宝德支架通孔内外,套,9000.0,0.82,7380,8159
2024-05-28,CY123防爆支架,只,340.0,1.1,374.00000000000006,
2024-05-29,13373B点焊支架,只,10000.0,0.9,9000,7641
2024-05-29,面板插脚,只,50000.0,0.073,3649.9999999999995,
2024-05-31,16510B点焊支架,套,6000.0,1.35,8100.000000000001,7642
2024-05-31,13373B点焊支架,套,6600.0,0.9,5940,
2024-05-31,,,,,200933.7,
2024-06-01,紫铜1.6插针,只,4360.0,0.4,1744,7643
2024-06-02,宝德支架内外 通孔,套,5000.0,0.82,4100,7644
2024-06-02,16孔铁壳支架,套,1980.0,3.8,7524,
2024-06-02,16510A支架,套,5000.0,1.45,7250,
2024-06-03,16510A点焊支架,套,3200.0,1.45,4640,7645
2024-06-03,13373B点焊支架,套,5600.0,0.9,5040,
2024-06-05,AB410支架,只,2000.0,0.88,1760,7646
2024-06-05,AB410盖板组件,只,2000.0,0.25,500,
2024-06-05,13373B点焊支架,套,9000.0,0.9,8100,
2024-06-05,16510A点焊支架,套,3200.0,1.45,4640,
2024-06-07,13373B点焊支架,套,5600.0,0.9,5040,7647
2024-06-07,16510A点焊支架,套,6400.0,1.45,9280,
2024-06-07,面板插脚,只,66400.0,0.073,4847.2,
2024-06-11,16510A点焊支架,套,8000.0,1.45,11600,7648
2024-06-11,13373B点焊支架,套,10000.0,0.9,9000,
2024-06-13,13373B点焊支架,只,12000.0,0.9,10800,7649
2024-06-13,13373B引线支架,只,5000.0,0.8,4000,
2024-06-17,13373B点焊支架,只,12000.0,0.9,10800,7650
2024-06-17,13373B引线支架,只,5000.0,0.8,4000,
2024-06-17,16510A点焊支架,只,4500.0,1.45,6525,
2024-06-17,面板插脚,只,288000.0,0.073,21024,
2024-06-17,紫铜插针,只,4680.0,0.4,1872,
2024-06-17,DMF点焊支架,套,5000.0,0.85,4250,
2024-06-14,DMF点焊支架,套,2000.0,0.85,1700,
2024-06-18,1750内外,套,2430.0,1.95,4738.5,7652
2024-06-19,002铁壳支架,只,2000.0,2.3,4600,7653
2024-06-19,13373B点焊支架,只,10000.0,0.9,9000,
